ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
canonical,16,9,0.03515625,0.99,200,1.0,0.417003406851723,0.21738339894968453,0.98,0.2346842366160834,0.2158893380638298,0.355
canonical,16,12,0.046875,0.99,200,1.0,0.5562784450944621,0.2560067611028862,0.89,0.4196769337248905,0.33315766852596906,0.22
canonical,16,15,0.05859375,0.99,200,0.995,0.744406282251259,0.26259510466329833,0.68,0.6933687696916044,0.3404678486542502,0.11
canonical,16,17,0.06640625,0.99,200,0.955,0.8374592820160498,0.2074947009298849,0.63,0.8034520319897352,0.2747336171380883,0.06
canonical,16,18,0.0703125,0.99,200,0.91,0.8383316240101331,0.23015512618708894,0.625,0.7920133870029492,0.2982330438536665,0.08
canonical,16,19,0.07421875,0.99,200,0.86,0.8583182553382086,0.23010584911642673,0.64,0.8188295143221568,0.2887460672580399,0.075
canonical,16,21,0.08203125,0.99,200,0.67,0.8540148639672708,0.2673407261840465,0.565,0.8178210199130007,0.31693605523953017,0.1
canonical,16,22,0.0859375,0.99,200,0.63,0.8808373101451095,0.23893583072181865,0.555,0.8399162605561888,0.2955753223016586,0.09
canonical,16,23,0.08984375,0.99,200,0.54,0.9133855259592994,0.19756239968068262,0.475,0.8867972224778907,0.24726741960159593,0.055
canonical,16,25,0.09765625,0.99,200,0.47,0.9219593020601613,0.19182621248956525,0.405,0.8963353236210553,0.24120860164906888,0.045
canonical,16,26,0.1015625,0.99,200,0.4,0.949254563346773,0.146999245884521,0.35,0.9324184472441545,0.18606572647312833,0.025
canonical,16,27,0.10546875,0.99,200,0.315,0.950046387541233,0.16340478408210457,0.3,0.934935321614806,0.1956682963895125,0.035
canonical,16,29,0.11328125,0.99,200,0.29,0.9586353916885544,0.1548964675687153,0.32,0.9440566219371194,0.1848217923781915,0.01
canonical,16,30,0.1171875,0.99,200,0.225,0.9711729838207513,0.12492871873452593,0.205,0.9615180063655032,0.15212114156731207,0.0
canonical,16,32,0.125,0.99,200,0.18,0.9837340336659554,0.08379248721168842,0.16,0.9775725874479179,0.10348734474206396,0.0
canonical,16,33,0.12890625,0.99,200,0.14,0.9927312114015743,0.022916558733452712,0.145,0.988010581821831,0.04108337227361815,0.0
canonical,16,34,0.1328125,0.99,200,0.1,0.9946059886595975,0.0196370155383928,0.09,0.9920307542757638,0.03355246674618321,0.0
canonical,16,36,0.140625,0.99,200,0.05,0.9975785040930131,0.012307825758317672,0.065,0.9953192679137851,0.0235446611622571,0.0
canonical,16,37,0.14453125,0.99,200,0.06,0.9971145311454166,0.017963829480810815,0.055,0.9948065156293672,0.03271121529005351,0.0
canonical,16,38,0.1484375,0.99,200,0.05,0.9984449430409635,0.007081173286335572,0.055,0.9969870180950073,0.013877226262431035,0.0
canonical,16,40,0.15625,0.99,200,0.065,0.9938251668667698,0.05290369204918691,0.065,0.9906979374253555,0.0693239963961334,0.0
canonical,16,41,0.16015625,0.99,200,0.05,0.9946979772521055,0.05020933980096152,0.045,0.9922287078408973,0.0664953852043858,0.0
canonical,16,46,0.1796875,0.99,200,0.015,0.9951923692506344,0.06070784170128941,0.015,0.9940941195786709,0.06976511794521992,0.0
